Alpha,Formula,Definition,Tags
Alpha#19,"((-1*sign(((close-delay(close,7))+ delta(close,7)))* (1+rank((1+sum(returns,250))))",說明：這一年漲的特別多的股票，但是這幾天跌的比較慘的，可以考慮購買,mean reversion
Alpha#20,"(((-1 * rank((open - delay(high,1)))) * rank((open - delay(close,1)))) * rank((open - delay(low,1))))",說明：計算開盤價減去前一天最高價，計算開盤價減去前一天收盤價，計算開盤價減去前一天最低價。如果開盤價低於昨日最高價，並且遠高於昨日收盤價和最低價，則投資。,momentum
Alpha#21,"((((sum(close,8) / 8) + stddev(close,8)) < (sum(closem2) / 2))? (-1 * 1) : (((sum(close,2) / 2) < ((sum(close,8) / 8) - stddev(close,8))) ? 1 : (((1 < (volume / adv20)) || ((volume / adv20) ==1)) ? 1 : (-1 * 1))))",說明：前8天平均收盤價+8天收盤價的標準差。如果小於2天收盤價的平均價，則返回-1（不投資）。如果高於2天收盤價的平均價，則判斷8天平均收盤價-8天收盤價的標準差，是否大於2天收盤價的平均價，如果是，則返回1（投資）。否則繼續判斷，過去一天日交易量是否超過或等於前20日平均交易量，是，則返回1（投資），否則返回-1（不投資）。意味着：如果這兩天漲太厲害，超過了一個標準差，就不投資了。如果這兩天跌超過了一個標準差，就投資。如果在標準差範圍內，如果交易量增高，則可以投資。,mean reversion
Alpha#22,"(-1 * (delta(correlation(high, volume, 5), 5) * rank(stddev(close,20))))",說明：當日最高價與交易量之間的相關性關係，在5天的變化值，如果出現降低的變化，則傾向於投資，如果出現上升的變化，則傾向於不投資。除此之外乘上一個20日收盤價標準差作爲標準，排名越大，越傾向於投資。意味着：量價反向程度增加的情況下，如果波動率增加，適合投資。,量價理論
Alpha#24,"((((delta((sum(close,100)/100,100)/delay(close,100))<0.05)||((delta((sum(close,100)/100), 100) / delay(close,100)) == 0.05)) ? (-1 * (close - ts_min(close, 100))) : (-1 * delta(close,3)))",說明：過去一天日前100日平均收盤價的平均值，減去過去100天日平均收盤價的平均值。除以過去一天100日的收盤價，如果小於等於5%。則返回過去一天日收盤價減去過去100個收盤價中的最小值，乘以負數。否則，返回3日收盤價價差，乘以負一。意味着，如果平均價格的趨勢，如果是上漲的，選取了一個5%的門檻，超過這個數字，則認爲上漲的太多了，趕緊賣吧。如果上漲的沒有這麼多或者甚至是下跌了，那就看看這三天的收盤價，如果跌了不少，就可以買入了。,mean reversion
Alpha#25,rank(((((-1 * returns) * adv20) * vwap) * (high - close))),說明：在過去一天日收益爲負的情況下，當日最高價越高於收盤價，越有投資價值。並且過去20天的日交易量如果高的話，也更有投資價值。,mean reversion
Alpha#26,"(-1*ts_max(correlation(ts_rank(volume,5),ts_rank(high, 5), 5), 3))",說明：如果5天內的交易量與最高價呈現正相關關係，那麼該相關關係正相關程度越高，越不投資。負相關程度越高，越可以投資。,量價理論
Alpha#27,"((0.5<rank((sum(correlation(rank(volume),rank(vwap), 6), 2) / 2.0))) ?   (-1*1): 1)",說明：6日滾動計算的交易量與vwap的相關性的2日平均值，進可以排序，如果超過0.5，則不投資，如果小於0.5，則投資。,量價理論
Alpha#28,"scale(((correlation(adv20, low, 5) + ((high + low) / 2)) - close))",說明：將correlation與價格加在一起毫無意義，應該先分別對correlation和price進可以scale再計算。類似於在波動率高的環境下，如果過去一天收盤價較低，可以考慮購買。,mean reversion
Alpha#29,"(min(product(rank(rank(scale(log(sum(ts_min(rank(rank((-1 * rank(delta((close-1), 5))))),2 ), 1))))),1), 5) + ts_rank(delay((-1 * returns), 6), 5))",說明：選取那些這幾天跌的比別人慘的股票買，即選擇超跌的股票。,mean reversion
Alpha#30,"(((1.0 - rank(((sgin((close-delay(close,1))) + sign((delay(close,1) - delay(close,2)))) + sign((delay(close,2) - delay(close,3)))))) * sum(volume,5))/sum(volume,20))",說明：核心理念就是，這三天的價差加在一起，排名後，越小的越好（跌的越多越好）。並且5天的累積交易量佔20天的累積交易量越大越可以投資。,量價理論
Alpha#31,"((rank(rank(rank(decay_linear((-1*rank(rank(delta(close,10)))),10))))+rank((-1*delta(close,3)))) + sign(scale(correlation(adv20,low,12))))",說明：decay_linear是按照時間進可以遞減的權重分配方式，最新的賦予最高的權重。alpha#31的核心在於10日收盤價差額的時間權重平均、3日收盤價差額、以及最低價與平均交易量之間的相關度。其中分數與10日價差成反比，與3日價差成反比，與相關度成反比。意味着：尋找10日下跌、3日下跌、量價反向關的資產。,量價理論+mean reversion
Alpha#32,"(scale(((sum(close,7) / 7) - close)) + (20 * scale(correlation(vwap, delay(close,5), 230))))",說明：如果一隻股票的5日的平均價格走勢有高度相關性，如果出現了大幅下跌，則預期其會修復。,mean reversion
Alpha#33,rank((-1 * ((1 - (open / close)) ^1))),說明：與當日漲幅成正相關。短期的momentum策略。,momentum
Alpha#34,"rank(((1-rank((stddev(returns,2) / stddev(returns,5)))) + (1 - rank(delta(close,1)))))",說明：這5天波動的厲害，但是這2天的波動小了很多，如果價格剛好來了個大跌，則考慮購買。,mean reversion
Alpha#35,"((Ts_Rank(volume,32) * (1 - Ts_Rank(((close + high) - low), 16))) * (1 - Ts_Rank(returns,32)))",說明：看到Ts_rank應該理解爲趨勢。該alpha與過去32個交易日的成交量趨勢成正比，與過去16個交易日的波動率和收盤價趨勢成反比，與過去32個交易日的收益率趨勢成反比。相當於在說如果交易量增加，而且價格下降、波動率下降（最低價屢創新低）、收益率下降，則投資。,量價理論（增強版，尤其是對於低價信號的穩定性實現了增強）
Alpha#36,"(((((2.21 * rank(correlation((close - open), delay(volume,1), 15))) + (0.7 *rank((open - close)))) + (0.73*rank(Ts_Rank(delay((-1 * returns),6),5)))) + rank(abs(correlation(vwap, adv20, 6)))) + (0.6 * rank((((sum(close,200) / 200) - open) * (close - open)))))",說明：與（當日收盤價減去開盤價，和過去一天日的交易量）正相關，與開盤價減去收盤價正相關，與收益率趨勢負相關，與日內平均價格和交易量呈正相關，與200日平均收盤價減去過去一天日開盤價正相關，與過去一天日收盤價與開盤價正相關。,量價理論+momentum
Alpha#37,"(rank(correlation(delay((open-close),1),close,200))+rank((open - close)))",說明：過去兩天日開盤價減去過去兩天日收盤價，與過去一天日收盤價之間的相關度，正比。過去一天日開盤價減去過去一天日收盤價，正比。意味着前一天跌的越慘，而第二天漲的越好的。如果今天跌了，那麼就預測明天漲。,mean reversion（相當於從已經表現出mean reversion的股票中，從今天跌的股票中，挑選出明天會漲的股票）
Alpha#38,"((-1*rank(Ts_Rank(close,10)))*rank((close/open)))",說明：與10日收盤價價差趨勢成反比，與訊號產生日的當日close/open呈正比。意味着：前10天跌的慘，過去一天日來了個不錯的漲幅，預測下一日也可以漲。有點類似進入mean reversion的訊號？,mean reversion
Alpha#39,"((-1 * rank((delta(close,7) * (1 - rank(decay_linear((volume / adv20), 9)))))) * (1+rank(sum(returns,250))))",說明：與7日價差成反比，與9日時間平均交易量佔比成反比，與250日收益率總和成正比。意味着，今年漲的好的，最近價格跌的厲害，但是交易量並沒有漲太多的，可以投資。,量價理論
Alpha#40,"((-1*rank(stddev(high,10)))*correlation(high,volume,10))",說明：與過去10個交易日的日內高價的波動率成正比，與過去10個交易日的日內高價和交易量相關性呈反比。意味着，過去10天市場比較波動的情況下，如果交易量和價格成反向，可以考慮投資。,量價理論（波動率高的情況下，進行投資量價反比的股票的投資，投資他們是因這些資產沒有被炒作或者恐慌拋售？）
Alpha#41,(((high * low)^0.5)-vwap),說明：相當於求high low的幾何平均值，並與vwap比較。這裏的暗示是，high * low的根號可以得到的是真正的價值。顯然這是不可靠的。,mean reversion
Alpha#42,(rank((vwap - close)) / rank((vwap + close))),說明：同樣是統計學技巧，意思是close不算太高，也不算太低的情況下，投資。沒有任何根據。,mean reversion
Alpha#43,"(ts_rank((volume/adv20),20)*ts_rank((-1*delta(close,7)), 8))",說明：過去一天日的交易量如果突增，並且價格大幅下降，則投資。,量價理論
Alpha#44,"(-1 * correlation(high, rank(volume), 5))",說明：過去5日，當日最高價與交易量的排序之間的關係。,量價理論
Alpha#45,"(-1×((rank((sum(delay(close,5),20)/20))*correlation(close,volume,2))*rank(correlation(sum(close,5).sum(close,20),2)))",說明：與過去20個日的滾動計算的5日收盤價價差總和成正比；與量價關係成反比；與5日成交價總和和20日成交價總和成正比。意味着：投資往上漲的，但是沒有違反量價理論的股票。,momentum + 量價理論
Alpha#46,"((0.25< (((delay(close,20) - delay(close,10))/10) - ((delay(close,10) - close)/10))) ? * (-1 * 1) : (((((delay(close,20) - delay(close,10)) / 10) - ((delay(close, 10) - close)/10))<0)? 1 : ((-1 * 1) * (close - delay(close,1))))",說明：先判斷過去20～10個日的收盤價漲幅，減去，過去10～0個收盤價的漲幅，的差，是否超過0.25。有的話，則返回-1（不投資）。否則，繼續判斷上述數字是否小於0，若是則返回-1，否則返回過去一天日收盤價減去過去兩天日收盤價的差值。意味着，如果資產不斷下跌，但是最近下跌趨緩，則不投資。如果資產不斷下跌，並且資產後期暴跌，則不投資。如果資產不斷下跌，後期跌幅縮小。只有在這個中間程度時候才進可以投資。思路比較類似於：選擇跌的夠厲害，但是沒那麼厲害，以至於形成momentum的股票，如果不是momentum，那還有一線希望是mean reversion）, mean reversion
Alpha#47,"((((rank(1/close)) * volume) / adv20) * ((high * rank(high - close))) / (sum(high,5) / 5))) - rank(vwap - delay(vwap,5))))",說明：close與volume成反比的受歡迎，這裏特別地指的是close向下走的；當日最高價不要太高的情況下，最低價相對向下走的受歡迎；這5個交易日下跌的受歡迎。,量價理論（這裏加強了相對向下的程度的信號識別）
Alpha#50,"(-1*ts_max(rank(correlation(rank(volume),rank(vwap),5)),5))",說明：尋找近期量價分歧最嚴重的個股進可以投資,量價理論
Alpha#51,"(((((delay(close,20)-delay(close,10))/10)-((delay(close,10)-close)/10))<(-1*0.05))?1:((-1*1)*(close-delay(close,1))))",說明：尋找近期量價分歧最嚴重的個股進可以投資，最主要的區別是從0.1變成了0.05。,mean reversion
Alpha#52,"((((-1*ts_min(low,5))+delay(ts_min(low,5),5))*rank(((sum(returns,240) - sum(returns,20))/220))) * ts_rank(volume,5))",說明：與5日內最低價成反比（越低越好）；與過去五天的5日內最低價成正比（越高越好）；與220日收益率平均跌幅成正比（最近收益率下降的越厲害越好）；與5日內的交易量趨勢成正比（交易量越高越好）。換言之：之前價格高，現在價格低，而且交易量還往高走的。,量價理論
Alpha#53,"(-1 * delta((((cloes-low) - (high - close))/(close-low)),9))",說明：基本邏輯是，跟9天相比。收盤價接近於最低價的時候，最值得投資。,k線圖+momentum
Alpha#54,((-1*((low-close)*(open^5)))/((low-high)*(close^5))),說明：基本邏輯依然是，收盤價越低越好。,k線圖+momentum
Alpha#55,"(-1*correlation(rank(((close-ts_min(low,12))/(ts_max(high,12)-ts_min(low,12)))),rank(volume),6))",說明：本質上是量價，但是在構造方面，做了一定程度的標準化處理：(收盤價-最低價)/(最高價-最低價)。,量價理論
Alpha#56,"(0-(1*(rank((sum(returns,10)/sum(sum(returns,2),3)))*rank((returns*cap)))))",說明：10天returns的總和除以6天returns（但是帶重疊的），這個值反應的應該是return的相對密度，如果小，則說明最近漲的厲害，與alpha分數成反比。最後一項用回報的絕對值來進可以量綱處理。如果這幾天漲的厲害，而且傾向於市值大的公司，則購買。,momentum
Alpha#57,"(0 - (1 * ((close-vwap)/decay_linear(rank(ts_argmax(close,30)),2))))",說明：收盤價與vwap的差值越高，越不投資。收盤價的高位如果出現在越久以前越好。即投資於收盤價不高，而且長期走低的資產。,mean reversion
Alpha#60,"(0 - (1 * ((2*scale(rank(((((close - low) - (high - close)) / (high-low)) * volume)))) - scale(rank(ts_argmax(close,10))))))",說明：同樣是一種採用了數據標準化手段，計算收盤價在過去一天日價格是否足夠低，從趨勢上來看，是否即便過去一天日價格已經很低了，但是相對於歷史趨勢，算是比較低的，與此同時，希望交易量越小越好的方法。,k線圖理論+mean reversion
Alpha#61,"(rank((vwap-ts_min(vwap,16.1219)))<rank(correlation(vwap,adv180,17.9282)))",說明：價差和相關度的rank比較到一起了。意思是，如果價格低的不可以，而且量價走勢又相對相反，則可以投資。這個訊號，從性質上來說是有問題的。,量價理論
Alpha#62," ((rank(correlation(vwap,sum(adv20,22.4101),9.91009))<rank((rank(open) + rank(open))<(rank(((high+low)/2))+rank(high))))) * -1)",說明：三重邏輯。從括號的情況來看，先可以判斷最後一個大小邏輯，再判斷前面的邏輯。後面的邏輯，判斷開盤價是否較日內波動低。如果是返回1。再判斷前面的邏輯，量價相關性是否足夠低，越低，則投資。,量價理論+蠟燭理論
Alpha#64,"((rank(correlation(sum(((open*0.178404) + (low* (1-0.178404))),12.7054),sum(adv120,12.7054),16.6208))<rank(delta(((((high+low)/2)*0.178404)+(vwap*(1-0.178404))),3.69741)))*-1)",說明：如果價格下跌的情況下，量價關係呈反比，則投資。,量價理論（使用rank之間的排序，也是一種描述condition的數學方式）
Alpha#65," ((rank(correlation(((open*0.00817205)+(vwap*(1-0.00817205))),sum(adv60,8.6911),6.40374))<rank((open-ts_min(open,13.635))))*-1)",說明：同上，改了具體的數字而已。如果以開盤價爲代表的數字遠低於過去13天的最小開盤價，則此情況下如果符合量價背離，則投資。,量價理論
Alpha#66," ((rank(decay_linear(delta(vwap,3.51013),7.23052))+Ts_Rank(decay_linear(((((low*0.96633)+(low*(1-0.966633)))-vwap)/(open-((high+low)/2))),11.4157),6.72611))*-1)",說明：一言以蔽之，投資價格下跌厲害的，最近的low值達新低的。,mean reversion
Alpha#67,"((rank(high-ts_min(high,2.14593)))^rank(correlation(IndNeutralize(vwap,IndClass.sector),IndNeutralize(adv20,IndClass.subindustry),6.02936)))*-1)",說明：第一部分，計算出2日內，high漲幅最大的。第二部分計算量價關係。最終，乘上-1，變成選擇high跌的最慘，量價背離的。,量價理論
Alpha#68," ((Ts_Rank(correlation(rank(high),rank(adv15),8.91644),13.93333)<rank(delta(((close*0.518371) + (low*(1-0.518371))),1.06157)))*-1)",說明：在價格下跌的股票裏面，選擇量價背離的。賦予更高的分數。,量價理論
Alpha#71," max(Ts_Rank(decay_linear(correlation(Ts_Rank(close,3.43976), Ts_Rank(adv180,12.0647),18.0175),4.20501),15.6948),Ts_Rank(decay_linear((rank((rank(((low+open)-(vwap+vwap)))^2),16.4662),4.4388)))",說明：傾向於選擇價格最近vwap跌的比較慘的，量價相關性近日降低的。通過max進可以量價關係的抉擇的，其邏輯關係不是那麼明顯。但是其基本依然可以理解爲：max，要求一個（價格）低的情況下，另一個（量價相關性）更低。,量價理論
Alpha#72," (rank(decay_linear(correlation(((high+low)/2),adv40,8.93345), 10.1519))/rank(decay_linear(correlation(Ts_Rank(vwap,3.72469),Ts_Rank(volume,18.5188),6.86671),2.95011)))",說明：以9天高低價格平均數和40日平均交易量爲基準的量價相關性/以4日vwap和20日volume走勢爲基準的的量價相關性。基本上是判斷時間上，短期的量價相關性是否相較於長期，要來的小。（即相關性下降）,量價理論（長短期套利）
Alpha#73," (max(rank(delay_linear(delta(vwap,4.72775),2.91864)),Ts_Rank(decay_linear(((delta(((open*0.147155)+(low*(1-0.0147155))),2.03608)/((open*0.147155)+(low*(1-0.147155))))*-1),3.33829),16.7411))*-1)",說明：比較5天vwap差價的大小的排名，和過去一天日處理後的開盤價價差的大小排名的反向排名序列，選取大的之後，進可以反向排名序列。相當於如果跌的厲害話，之後再Ts_rank層面反向排名序列，相當於跌的時間越早越可以投資（大跌已經過去的感覺？）。,mean reversion
Alpha#74," ((rank(correlation(close,sum(adv30,37.4843),15))<rank(correlation(rank(((high*0.0261661)+(vwap*(1-0.0261661)))),rank(volume),11)))*-1)",說明：長期短期的量價關係套利。前者30天的量，15天的相關性；後者1天的量11天的相關性。相當於如果過去一天日量價關係如果較長期量價關係降低的厲害，則投資。,量價理論（帶擇時的）
Alpha#75,"(rank(correlation(vwap,volume,4.24))<rank(correlation(rank(low),rank(adv50),12.4413)))",說明：同上，4天量價關係，同12天的50日平均交易量量價關係進可以對比。短期的如果下降了，則投資。,量價理論
Alpha#77," min(rank(decay_linear(((((high+low)/2)+high)-(vwap+high)),20.0451)),rank(decay_linear(correlation(((high+low)/2),adv40,3.1614),5.64125)))",說明：不帶-1的，直接使用min，同上類似的邏輯。,量價理論
Alpha#78," (rank(correlation(sum(((low*0.352233) + (vwap*(1-0.352233))),19.7428),sum(adv40,19.7428),6.83313))^rank(correlation(rank(vwap),rank(volume),5.77492)))",說明：correlation的前部分全部爲價格，後部分爲交易量的指數函數，指數爲量價關係。前者是20天，後者是7天。這裏的rank應該是以0爲平均值，所以當correlation降低的時候，rank會更大。,量價理論
Alpha#81," ((rank(log(product(rank((rank(correlation(vwap,sum(adv10,49.6054),8.47743))^4)),14.9655)))<rank(correlation(rank(vwap),rank(volume),5.07914)))*-1)",說明：前者判斷量價關係，14天的累積成績，如果越小的話，乘出來應該也是越小的。後者同樣是量價相關性，但是是5天的短期。最後一個負號。表明，整個邏輯就是如果短期的量價相關性如果小於長期的相關性，則投資。,量價理論
Alpha#83,"((rank(delay(((high-low)/(sum(close,5)/5)),2))rank(rank(volume)))/(((high-low)/(sum(close,5)/5))/(vwap-close)))",說明：與收盤價成反比，與交易量成正比,量價理論
Alpha#84,"SignedPower(Ts_Rank((vwapts_max(vwap,15.3217)),20.7127),delta(close,4.96796))",說明：與（過去一天價格與15日前價格的差值）成正比，與5天收盤價價差成正比。,momentum
Alpha#85,"(rank(correlation(((high*0.876703)+(close*(1-0.876703))),adv30,9.61331))^rank(correlation(Ts_Rank(((high+low)/2),3.70596),Ts_Rank(volume,10.1595),7.11408)))",說明：30日量價關係成正比，7日量價關係成反比。,量價理論
Alpha#86," ((Ts_Rank(correlation(close,sum(adv20,14.7444),6.00049),20.4195)<rank(((open+close)-(vwap+open))))*-1)",說明：6日量價關係，收盤價-vwap（兩個都小的話）。,量價理論
Alpha#88," min(rank(decay_linear(((rank(open)+rank(low))-(rank(high)+rank(close))),8.06882)),Ts_Rank(decay_linear(correlation(Ts_Rank(close,8.44728),Ts_Rank(adv60,20.6966),8.01266),6.65053),2.61957))",說明：選低的，不需要反向排名序列,量價理論
Alpha#92," min(Ts_Rank(decay_linear(((((high+low)/2)+close<(low+open)),14.72221),18.8683),Ts_Rank(decay_linear(correlation(rank(low),rank(adv30),7.58555),6.94024),6.80584))",說明：選取價格高的後排名反轉，選取量價關係高的排名反轉。取二者小的。,量價理論
Alpha#94,"((rank((vwap-ts_min(open,12.4105)))<Ts_Rank(correlation(Ts_Rank(vwap,19.6462),Ts_Rank(adv60,4.02992),18.0926),2.70756))*-1)",說明：12日價差，18日量價關係，排名反轉。當符合量價關係爲負的情況下，價差越小，整體分數越高。,量價理論
Alpha#95,"(rank((open-ts_min(open,12.4105)))<Ts_Rank((rank(correlation(sum(((high+low)/2),19.1351),sum(adv40,19.1351),12.8742))^5),11.7584))",說明：12日價差和12日量價關係，排名反轉。,量價理論
Alpha#96," (max(Ts_Rank(decay_linear(correlation(rank(vwap),rank(volume),3.83878),4.16783),8.38151),Ts_Rank(decay_linear(Ts_ArgMax(correlation(Ts_Rank(close,7.45404),Ts_Rank(adv60,4.13242),3.65459),12.6556),14.0365),13.4143))*-1)",說明：8日量價關係並將排名反轉；13日量價關係並將排名反轉。選數值大者,量價理論
Alpha#98," (rank(decay_linear(correlation(vwap,sum(adv5,26.4719),4.58418),7.18088))-rank(decay_linear(Ts_Rank(Ts_ArgMin(correlation(rank(open),rank(adv15),20.8187),8.62571),6.95668),8.07206)))",說明：5日量價關係和15日量價關係排名反轉。前者大，後者小的，賦予更高的分數。,量價理論
Alpha#99,"((rank(correlation(sum(((high+low)/2),19.8975),sum(adv60,19.8975),8.8136))<rank(correlation(low,volume,6.28259)))*-1)",說明：60日量價量價關係；1日量價關係。反比。選取短期量價關係小的。,量價理論
Alpha#101, ((close-open)/(high-low)+0.001)),說明：類似於波動狀態下，進可以mean reversion的意思,k線圖理論
